ancestry_label,people,people_in_snap_hh,rate
Romanian,271038.0,20019.0,0.07386049188674651
German,28705103.0,2110149.0,0.07351128473567922
Basque,44672.0,3265.0,0.07308828796561605
Bulgarian,88125.0,6431.0,0.07297588652482269
English,21785448.0,1575881.0,0.07233640547580202
Israeli,105421.0,7594.0,0.07203498354217851
Polynesian,8600.0,612.0,0.07116279069767442
Germanic,83185.0,5918.0,0.0711426338883212
Dutch,1764090.0,123713.0,0.07012850818268909
Kenyan,119307.0,8236.0,0.069031993093448
European,4294466.0,296112.0,0.06895199542853524
Scottish,3217064.0,220761.0,0.06862188629135137
Scandinavian,610243.0,40565.0,0.06647351956515683
Icelander,34846.0,2297.0,0.06591861332721116
Polish,5313270.0,347669.0,0.06543409237625794
Argentinean,136690.0,8938.0,0.0653888360523813
Czechoslovakian,130923.0,8559.0,0.06537430398020211
British,795272.0,49274.0,0.061958675773823295
Bolivian,92199.0,5665.0,0.061443182680940144
Finnish,400689.0,24326.0,0.06071042629071424
Lithuanian,320587.0,18760.0,0.058517656673539475
Zimbabwean,13977.0,816.0,0.0583816269585748
Canadian,388058.0,22400.0,0.05772333001767777
Norwegian,2518174.0,141848.0,0.05632970557237109
Swedish,1787597.0,99921.0,0.05589682685750759
Slovak,339626.0,18623.0,0.05483384664307209
Danish,596381.0,32556.0,0.05458926424550749
Serbian,135338.0,7207.0,0.05325185831030457
Austrian,299837.0,15397.0,0.05135123417056601
Central European,11764.0,597.0,0.05074804488269296
Belgian,176844.0,8964.0,0.05068874262061478
Taiwanese,376454.0,18412.0,0.048909030054136764
Eastern European,739414.0,34884.0,0.047177900337294125
Western European,403688.0,19004.0,0.04707595965200848
Northern European,358010.0,16558.0,0.04625010474567749
Asian Indian,3483362.0,158368.0,0.0454641234531467
Macedonian,38747.0,1738.0,0.044855085555010714
Japanese,932689.0,41494.0,0.04448857014503227
Maltese,27087.0,1180.0,0.043563332964152546
Czech,561077.0,23644.0,0.04214038358371489
Croatian,243909.0,9780.0,0.04009692139281453
Australian,57643.0,2132.0,0.036986277605259965
Swiss,475258.0,16658.0,0.03505043576331172
South African,66455.0,2162.0,0.03253329320592883
British Isles,70147.0,2195.0,0.03129143085235292
Luxembourger,24448.0,762.0,0.031168193717277488
Latvian,58655.0,1750.0,0.02983547864632171
Okinawan,15532.0,419.0,0.026976564511975276
Slovene,99448.0,2261.0,0.022735499959777975
Estonian,15731.0,346.0,0.02199478736253258
Flemish,4638.0,71.0,0.015308322552824494
Alsatian,5407.0,50.0,0.009247272054743851
New Zealander,14322.0,67.0,0.004678117581343388
