ancestry_code,people,people_in_snap_hh,rate,ancestry_label
50,18341138.0,1601914.0,0.08733994586377355,Irish
750,1406606.0,121542.0,0.0864079920034466,Korean
935,1114189.0,93477.0,0.08389689720505228,French Canadian
799,22679.0,1828.0,0.08060320119934741,Other Asian
499,21655.0,1720.0,0.07942738397598707,Other Arab
51,11904159.0,939176.0,0.07889477954721538,Italian
776,212572.0,16736.0,0.07873097115330335,Thai
112,91570.0,7135.0,0.07791853227039423,Bohemian
46,893413.0,69598.0,0.07790126179045972,Greek
97,695745.0,52970.0,0.07613421584057377,Welsh
87,1708139.0,128556.0,0.07526085406398425,Scotch Irish
427,13826.0,1037.0,0.07500361637494575,Saudi Arabian
144,271038.0,20019.0,0.07386049188674651,Romanian
32,28705103.0,2110149.0,0.07351128473567922,German
5,44672.0,3265.0,0.07308828796561605,Basque
103,88125.0,6431.0,0.07297588652482269,Bulgarian
22,21785448.0,1575881.0,0.07233640547580202,English
419,105421.0,7594.0,0.07203498354217851,Israeli
808,8600.0,612.0,0.07116279069767442,Polynesian
194,83185.0,5918.0,0.0711426338883212,Germanic
21,1764090.0,123713.0,0.07012850818268909,Dutch
534,119307.0,8236.0,0.069031993093448,Kenyan
195,4294466.0,296112.0,0.06895199542853524,European
88,3217064.0,220761.0,0.06862188629135137,Scottish
98,610243.0,40565.0,0.06647351956515683,Scandinavian
49,34846.0,2297.0,0.06591861332721116,Icelander
142,5313270.0,347669.0,0.06543409237625794,Polish
231,136690.0,8938.0,0.0653888360523813,Argentinean
114,130923.0,8559.0,0.06537430398020211,Czechoslovakian
11,795272.0,49274.0,0.061958675773823295,British
232,92199.0,5665.0,0.061443182680940144,Bolivian
24,400689.0,24326.0,0.06071042629071424,Finnish
129,320587.0,18760.0,0.058517656673539475,Lithuanian
593,13977.0,816.0,0.0583816269585748,Zimbabwean
931,388058.0,22400.0,0.05772333001767777,Canadian
82,2518174.0,141848.0,0.05632970557237109,Norwegian
89,1787597.0,99921.0,0.05589682685750759,Swedish
153,339626.0,18623.0,0.05483384664307209,Slovak
20,596381.0,32556.0,0.05458926424550749,Danish
152,135338.0,7207.0,0.05325185831030457,Serbian
3,299837.0,15397.0,0.05135123417056601,Austrian
181,11764.0,597.0,0.05074804488269296,Central European
8,176844.0,8964.0,0.05068874262061478,Belgian
782,376454.0,18412.0,0.048909030054136764,Taiwanese
190,739414.0,34884.0,0.047177900337294125,Eastern European
187,403688.0,19004.0,0.04707595965200848,Western European
183,358010.0,16558.0,0.04625010474567749,Northern European
615,3483362.0,158368.0,0.0454641234531467,Asian Indian
130,38747.0,1738.0,0.044855085555010714,Macedonian
740,932689.0,41494.0,0.04448857014503227,Japanese
78,27087.0,1180.0,0.043563332964152546,Maltese
111,561077.0,23644.0,0.04214038358371489,Czech
109,243909.0,9780.0,0.04009692139281453,Croatian
800,57643.0,2132.0,0.036986277605259965,Australian
91,475258.0,16658.0,0.03505043576331172,Swiss
570,66455.0,2162.0,0.03253329320592883,South African
12,70147.0,2195.0,0.03129143085235292,British Isles
77,24448.0,762.0,0.031168193717277488,Luxembourger
128,58655.0,1750.0,0.02983547864632171,Latvian
748,15532.0,419.0,0.026976564511975276,Okinawan
154,99448.0,2261.0,0.022735499959777975,Slovene
115,15731.0,346.0,0.02199478736253258,Estonian
9,4638.0,71.0,0.015308322552824494,Flemish
1,5407.0,50.0,0.009247272054743851,Alsatian
803,14322.0,67.0,0.004678117581343388,New Zealander
